Sweep Expansion, 2
Set Current, 128.27
Power (mW), 11.67\
t (s), Frequency Drift (GHz), Active Current (mA) 
P,0.3
I,4.662
D,0.0
All,1.5
2.41, -0.000573467809458881, 128.21087314662273
17.721, -0.001146935618917762, 128.1940032948929
33.067, 0.00019115593648629369, 128.19400329489292
48.398, 0.0026761831108081118, 128.1771334431631
63.728, 0.003058494983780699, 128.1771334431631
79.054, 0.002293871237835524, 128.21087314662273
94.377, 0.0036319627932395802, 128.21087314662273
109.703, 0.002485027174321818, 128.18556836902798
125.036, 0.003058494983780699, 128.185568369028
140.364, 0.003440806856753286, 128.21087314662273
155.692, 0.004587742475671048, 128.21930807248762
171.023, 0.004587742475671048, 128.19400329489292
186.346, 0.00516121028512993, 128.1940032948929
201.673, 0.006308145904047691, 128.21930807248765
217.007, 0.0072639255864791604, 128.1940032948929
232.327, 0.006690457777020278, 128.21087314662273
247.66, 0.008410861205396924, 128.1940032948929
262.995, 0.008602017141883217, 128.21087314662273
278.323, 0.009940108697287273, 128.1940032948929
293.651, 0.012042823998636503, 128.21930807248765
308.978, 0.011660512125663913, 128.21087314662273
324.305, 0.010895888379718738, 128.22774299835254
339.635, 0.011851668062150208, 128.1940032948929
355.002, 0.01146935618917762, 128.185568369028
370.318, 0.012042823998636503, 128.21930807248765
385.654, 0.01299860368106797, 128.21930807248762
400.982, 0.014527851172958321, 128.21087314662273
416.311, 0.014719007109444614, 128.21930807248765
431.646, 0.01605709866484867, 128.2024382207578
446.976, 0.018159813966197903, 128.21930807248765
462.294, 0.018159813966197903, 128.23617792421746
477.638, 0.017777502093225317, 128.21930807248765
492.966, 0.019497905521601955, 128.2024382207578
508.297, 0.01911559364862937, 128.23617792421746
523.613, 0.01911559364862937, 128.21087314662273
538.941, 0.019880217394574545, 128.2024382207578
554.28, 0.021791776759437477, 128.185568369028
569.626, 0.021027153013492308, 128.21087314662273
584.955, 0.023321024251327826, 128.22774299835254
600.269, 0.02293871237835524, 128.22774299835254
615.612, 0.023129868314841536, 128.21087314662273
630.924, 0.02389449206078671, 128.21087314662273
646.282, 0.023129868314841536, 128.24461285008238
661.642, 0.022747556441868953, 128.22774299835254
676.967, 0.024467959870245592, 128.1940032948929
692.295, 0.02293871237835524, 128.21087314662273
707.647, 0.025232583616190764, 128.21087314662273
722.973, 0.025232583616190764, 128.24461285008238
738.306, 0.02618836329862223, 128.25304777594727
753.625, 0.025423739552677058, 128.24461285008238
768.952, 0.024085647997273005, 128.21930807248765
784.282, 0.024659115806731885, 128.22774299835254
799.608, 0.02504142767970447, 128.24461285008238
814.942, 0.025806051425649644, 128.23617792421746
830.274, 0.025614895489163354, 128.21930807248765
845.595, 0.025423739552677058, 128.21087314662273
860.919, 0.024276803933759295, 128.23617792421746
876.253, 0.02504142767970447, 128.21930807248765
891.578, 0.025614895489163354, 128.22774299835254
906.908, 0.02389449206078671, 128.21930807248765
